"","type","name","label","hint","required","relevant","appearance","constraint","constraint_message","choice_filter","calculation","kuid","repeat_count"
"151","text","movement_restrictions_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${movement_restrictions},'other')","","","","","",NA,""
"152","select_one y_n_dk","hh_insecurity","Has anyone in the community felt or feared insecurity at any point in the last 3 months/90 days?","Saddexdii bilood ee lasoo dhaafay, ma jiraa qof bulshada ka tirsan oo dareemay cabsi ama amaan daro?","true","","","","","","",NA,""
"153","select_multiple insecurity_cause","hh_insecurity_cause","Is the insecurity the result of any of the following groups?","Ammaan darada ma waxay ka dhalatay kuwan soo socda qaarkood?","true","selected(${hh_insecurity},'yes')","","not(selected(.,'none') and (selected(.,'local_militias') or selected(.,'family_members') or selected(.,'amisom') or selected(.,'criminals') or selected(.,'snf') or selected(.,'community_leaders') or selected(.,'police') or selected(.,'armed_groups') or selected(.,'gatekeepers') or selected(.,'other')))","cannot select ""None of the above"" and any other option","","",NA,""
"154","text","hh_insecurity_cause_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${hh_insecurity_cause},'other')","","","","","",NA,""
"155","select_one y_n_dk","not_safe_men_boys","Are there areas in your community where men and/ or boys do not feel safe?","Ma jiraan meelo wiilasha iyo nimanka aysan ammaan ku heysan?","true","","","","","","",NA,""
"156","select_multiple unsafe_areas","not_safe_men_boys_where","Where do men and boys not feel safe?","Waa xagee meelaha wiilasha iyo nimanka aysan ammaanka ku heysan?","true","selected(${not_safe_men_boys},'yes')","","not(selected(.,'no_answer') and (selected(.,'shelters') or selected(.,'camp_areas') or selected(.,'waterpoint') or selected(.,'latrines') or selected(.,'bathing_areas') or selected(.,'market') or selected(.,'school') or selected(.,'health_centre') or selected(.,'feeding_distribution_point') or selected(.,'other')))","cannot select ""Chose not to answer"" and any other option","","",NA,""
"157","text","not_safe_men_boys_where_other","if other, please specify","Wax kale, fadlan qeex","true","selected(${not_safe_men_boys_where},'other')","","","","","",NA,""
"158","select_one y_n_dk","not_safe_women_girls","Are there areas in your community where women and/ or girls do not feel safe?","Ma jiraan meelo gabdhaha iyo naagaha aysan ammaan ku heysan?","true","","","","","","",NA,""
"159","select_multiple unsafe_areas","not_safe_women_girls_where","Where do women and girls not feel safe?","Waa xagee meelaha gabdhaha iyo naagaha aysan ammaanka ku heysan?","true","selected(${not_safe_women_girls},'yes')","","not(selected(.,'no_answer') and (selected(.,'shelters') or selected(.,'camp_areas') or selected(.,'waterpoint') or selected(.,'latrines') or selected(.,'bathing_areas') or selected(.,'market') or selected(.,'school') or selected(.,'health_centre') or selected(.,'feeding_distribution_point') or selected(.,'other')))","cannot select ""Chose not to answer"" and any other option","","",NA,""
"160","text","not_safe_women_girls_where_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${not_safe_women_girls_where},'other')","","","","","",NA,""
"161","select_multiple gbv_services","gbv_services","Where do women and girls go for help if they have experienced some form of violence? ","Dumarka xagee adeeg u raadsadaan/doontaan haddii uu ku dhaco wax xadgudub ah?","true","","","not(selected(.,""dontknow"") and (selected(.,""community_leader"") or selected(.,""health_centre"") or selected(.,""un_agency"") or selected(.,""police"") or selected(.,""other"")))","Cannot select 'don't know' with any other option","","",NA,""
"162","text","gbv_services_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${gbv_services},'other')","","","","","",NA,""
"163","select_one host_relations","relations_host","How would you describe relations between the host community and displaced groups?","Waa sidee xiriirka idinka dhaxeeya dadka deegaanka?","true","","","","","","",NA,""
"164","select_multiple reason_tensions","bad_relations_reason","If you think the relations are bad or very bad, why are relations bad between displaced and host communities?","Haddii aad u malayneyso in xiriirka aad la leedihiin dadka deegaanka mid xun ama aad u xun, waa maxay sababta uu u xun yahay xiriirka ka dhexeeyo barakacayaasha iyo dadka deegaanka?","true","selected(${relations_host},'bad') or selected(${relations_host},'very_bad')","","not(selected(.,""dnk"") and (selected(.,""competition_work"") or selected(.,""crime"") or selected(.,""clan_conflict"") or selected(.,""burden_services"") or selected(.,""presence_ags"") or selected(.,""no_answer"") or selected(.,""other""))) and not(selected(.,""no_answer"") and (selected(.,""competition_work"") or selected(.,""crime"") or selected(.,""clan_conflict"") or selected(.,""burden_services"") or selected(.,""presence_ags"") or selected(.,""no_answer"") or selected(.,""dnk"") or selected(.,""other"")))","Cannot select ""Do not know"" or ""Do not wish to answer"" with any other option","","",NA,""
"165","text","bad_relations_reason_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${bad_relations_reason},'other')","","","","","",NA,""
"166","select_multiple legal_response","legal_system","Where would you go if a crime had been committed against you or a member of your household?","Xaggee aadi laheyd haddii dambi lagaa galo ama qof qoyska ka tirsan laga galo?","true","","","not(selected(.,""dontknow"") and (selected(.,""police"") or selected(.,""elder"") or selected(.,""trad_court"") or selected(.,""other_comm_org"") or selected(.,""armed_group"") or selected(.,""no_reporting"") or selected(.,""none"") or selected(.,""other""))) and not(selected(.,""none"") and (selected(.,""police"") or selected(.,""elder"") or selected(.,""trad_court"") or selected(.,""other_comm_org"") or selected(.,""armed_group"") or selected(.,""no_reporting"") or selected(.,""dontknow"") or selected(.,""other""))) and not(selected(.,""no_reporting"") and (selected(.,""police"") or selected(.,""elder"") or selected(.,""trad_court"") or selected(.,""other_comm_org"") or selected(.,""armed_group"") or selected(.,""none"") or selected(.,""dontknow"") or selected(.,""other"")))","Cannot select ""None"" or ""Would not report it"" or ""I donï¿½t know or I donï¿½t want to asnwer"" with any other options","","",NA,""
"167","text","legal_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${legal_system},'other')","","","","","",NA,""
"168","select_multiple decision_making","decision_making","What mechanisms do you have to participate in the decision making processes that concern you within your settlement?","Sheeg qaababka aad ugu qeyb gashid go'aanada ku quseeya adiga shakhsi ahaan ama deegaanka?","true","","","not(selected(.,""none"") and (selected(.,""camp_committee"") or selected(.,""comm_leader"") or selected(.,""gatekeeper"") or selected(.,""cso"") or selected(.,""demonstrations"") or selected(.,""dontknow"") or selected(.,""other""))) and not(selected(.,""dontknow"") and (selected(.,""camp_committee"") or selected(.,""comm_leader"") or selected(.,""gatekeeper"") or selected(.,""cso"") or selected(.,""demonstrations"") or selected(.,""none"") or selected(.,""other"")))","Cannot select ""None"" or ""Do not wish to answer"" with any other option","","",NA,""
"169","text","decision_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${decision_making},'other')","","","","","",NA,""
"170","end_group","","","","","","","","","","",NA,""
"171","begin_group","hlp","Housing, land and property","","","","","","","","",NA,""
"172","select_one y_n_dk","own_land","Do you own the land you are settled on?","Ma leedahay dhulka aad degan tahay hadda?","true","","","","","","",NA,""
"173","select_one y_n_dk","land_docs","Do you own any documentation indicating a land tenure or rental agreement?","Ma heysataa wax dukumenti cadeynayaa deganaashaha ama kirada dhulka?","true","selected(${own_land},'no')","","","","","",NA,""
"174","select_one y_n_dk","eviction_risk","Are you at risk of eviction in this community/ settlement?","Halis miyaad ugu jirtaa in lagaa saarp/bixiyo deegaankan?","true","selected(${own_land},'no')","","","","","",NA,""
"175","select_one y_n_dk","rent_paid_money_inkind","Do you pay money or give goods or service in order to stay on this land?","Lacag miyaad bixisaa mise badeeco si aad u degenaatid dhulkaan?","true","selected(${own_land},'no')","","","","","",NA,""
"176","select_one rent_type","payment_type","How do you pay?","Sidee ku bixisaa kirada?","true","selected(${rent_paid_money_inkind},'yes')","","","","","",NA,""
"177","text","payment_type_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${payment_type},'other')","","","","","",NA,""
"178","end_group","","","","","","","","","","",NA,""
"179","begin_group","rent","Rent Payment","Kiro bixinta","","selected(${rent_paid_money_inkind},'yes')","","","","","",NA,""
"180","select_one increase_decrease","rent_pay_change","Has the amount you pay changed over the past 3 months/90 days?","Lacagta aad kirada ku bixisay ma isbedel ayaa ku yimid 3dii bilood ee la soo dhaafay?","true","not(selected(${payment_type},'aid'))","","","","","",NA,""
"181","select_one rent_collector","rent_collector","To whom do you pay?","Yaad siisaa kirada?","true","","","","","","",NA,""
"182","text","rent_collector_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${rent_collector},'other')","","","","","",NA,""
"183","select_one rent_frequency","rent_frequency","How often do you pay?","Sidee ku bixisaa kirada inta badan?","true","","","","","","",NA,""
"184","text","rent_frequency_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${rent_frequency},'other')","","","","","",NA,""
"185","integer","cash_amount","How much was your last rent payment, in USD?","Goorta ugu dambeysay, imisa lacag ayaa kiro ku bixisay?","true","selected(${payment_type},'cash')","","","","","",NA,""
"186","select_one unable_pay_rent","unable_pay_rent","What would happen if you were unable to pay?","Maxaa dhici kara haddii aadan bixin kirada?","true","","","","","","",NA,""
"187","text","unable_pay_rent_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${unable_pay_rent},'other')","","","","","",NA,""
"188","end_group","","","","","","","","","","",NA,""
"189","end_group","","","","","","","","","","",NA,""
"190","begin_group","E","Food security","CUNTADA","","","","","","","",NA,""
"191","select_one y_n_dk","food_now","Is your household currently able to access enough food?","Qoyskaaga cunto ku filan miyuu heli karaa hadda?","true","","","","","","",NA,""
"192","note","food_no_note","What are the top two reasons why your household is unable to access enough food?","Waa maxay sababaha ugu weyn ee qoyskaaga uusan u awoodin helitaanka cunto ku filan?","false","selected(${food_now},""no"")","","","","","",NA,""
"193","select_one food_no","food_no_reason1","First most important reason:","Sababta Koowaad","true","selected(${food_now},""no"")","","","","","",NA,""
"194","select_one food_no","food_no_reason2","Second most important reason:","Sababta Labaad","true","selected(${food_now},""no"") and not (selected(${food_no_reason1},""nothing"")) and not (selected(${food_no_reason1},""dontknow""))","",". != ${food_no_reason1}","","name != ${food_no_reason1}","",NA,""
"195","begin_group","fsc","Food Consumption Score","","","","","","","","",NA,""
"196","note","note_fcs","On how many days did your household consume the following food groups in the past 7 days?","Todobaaddkii lasoo dhaafay, imisa maalmood ayaad cuntay cunooyinkaan soo socda?","false","","","","","","",NA,""
"197","begin_group","fcs_list","","","","","field-list","","","","",NA,""
"198","integer","cereals","Cereals (sorghum, rice, maize, millet, bread, spaghetti etc)","Xubuubta (Masago, bariis, galey, masago, rooto/canjeero/muufo, moxog, barado, iyo bataati dhuleed)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"199","integer","vit_a_veg","Vitamin A rich vegetables and tubers (yellow pumpkin, orange sweet potatoes, yellow cassava)","Khudaarta ay ka buuxdo Vitamin A (Bocor jaallaha, moxogta jaallaha ah, bataatiga macaan oo oranjada ah)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"200","integer","roots","White roots and tubers (white potatoes, cassava, arrowroot)","Jirida cad (Bataatiga cad, moxogta)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"201","integer","pulses","Legumes, nuts and seeds (cowpeas, lentils, peanut, beans)","Digirta (digir, loos, misir, salbuko, fuulka)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"202","integer","vegetables","Dark green leafy vegetables (pumpkin leaves, cassava leaves, kale)","Khudaarta cagaaran iyo caleemaha iyo khudrada duurka laga helo","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"203","integer","other_veg","Other vegetables (tomatoes, onion, cabbage, bell pepper)","Khudaarta kale (Yaanyo, basal, kabash, barbarooni)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"204","integer","fruits","Vitamin A rich fruits (ripe mango, pawpaw, gob, hobob)","Miraha iyo miraha duurka laga helo","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"205","integer","other_fruit","Other fruit (banana, orange, apple, grapes, wild fruits)","Furuutka sida (mooska, liimo oranjo, tufaax, canab, miro duureedka)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"206","integer","meat","Meat & poultry","Hilibka, sida (Lo'da, ariga, iyo digaaga)","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"207","integer","fish","Fish","Kalluunka","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"208","integer","dairy","Milk & milk products (cheese or yoghurt)","Caano, farmaajo ama caano fadhi iyo ukunta","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"209","integer","eggs","Eggs","Ukun/Naalo/Beyd","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"210","integer","sweet","Sugar, honey and sweets","Sonkor, malab ama/iyo macmacaanka kale","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"211","integer","fats","Oils, fats or butter","Saliid, dufin ama/iyo subag","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"212","integer","condiments","Condiments, tea, coffee","Iidaan, shaah iyo qaxwo","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"213","end_group","fcs_list","","","","","","","","","",NA,""
"214","end_group","","","","","","","","","","",NA,""
"215","select_one food_source","food_normally","In normal times (i.e. before displacement, drought, flooding), what is the most common primary food source for your household?","Xilliyada caadiga ah, qoyskaaga xagee u ah isha koowaad ee cuntada?","true","","","","","","",NA,""
"216","text","food_normally_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${food_normally},'other')","","","","","",NA,""
"217","select_one food_source","food_source","What is currently the most common primary food source for your household?","Qoyskaaga xagee u ah isha aadka ugu muhimsan ee cuntada?","true","","","","","","",NA,""
"218","text","food_source_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${food_source},'other')","","","","","",NA,""
"219","select_multiple food_change","food_change","How has the source of food for your household changed in the last 6 months?","Is bedel sidee ayaa ku dhacay isha cuntada?","true","","","not(selected(.,""amount_reduced"") and (selected(.,""amount_increased""))) and not(selected(.,""quality_reduced"") and (selected(.,""quality_increased""))) and not(selected(.,""variety_reduced"") and (selected(.,""variety_increased""))) and not(selected(., ""none"") and count-selected(.) > 1)","Cannot select contradictory options i.e. ""Amonut of food available has reduced"" and ""Amonut of food available has increased""","","",NA,""
"220","integer","food_stocks_duration","How many days will your current cereal stocks last?","Imisa maalmood ayuu kuu yaali karaa xubuubta/heedka aad hadda heysatid?","true","","",".<=31 and .>=0","Cannot exceed 1 month","","",NA,""
"221","begin_group","rcsi","Reduced Coping Strategy Index","","","","","","","","",NA,""
"222","begin_group","food_coping_list","","","","","field-list","","","","",NA,""
"223","note","food_coping","Please give the number of days in the past 7 days where the household has used each of the following strategies:","7-dii maalmood ee ugu dambeysay, sheeg tirada maalmaha uu qoyska isticmaalay mid kamid ah qorshooyinkaan:","false","","","","","","",NA,""
"224","integer","less_expensive_food","Rely on less preferred and less expensive food (i.e. cheaper, lower quality food)","Ku tiirsanaasho cuno raqiis ah iyo weliba dooq la'aan","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"225","integer","borrow_food","Borrow food or get help from a friend or relative","Soo amaahasho cuno ama ku tiirsanaasho caawinaada qaraabada ama asxaabta","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"226","integer","reduce_meals","Reduce number of meals eaten in a day","Yareynta tirada cunto ee la cuno maalintii","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"227","integer","reduce_meal_size","Reduce portion sizes at meal times","Xadidida/yareynta saamiga cuntada ee waqtiyada cuntada","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"228","integer","only_children_eat","Adults do not eat so children can eat","Ka xanibaad cunuda dadka waaweyn si caruurta ay cunaan","true","","",".>=0 and .<=7","Must be between 0-7","","",NA,""
"229","end_group","food_coping_list","","","","","","","","","",NA,""
"230","end_group","","","","","","","","","","",NA,""
"231","begin_group","hh_hunger","Household Hunger","Gaajada Qoyska","","","","","","","",NA,""
"232","integer","no_food","In the past 30 days, on how many days was there no food to eat of any kind because of lack of resources to get food?","30kii maalmood ee la soo dhaafay, immisa maalmood ayaysan jirin cunto aad cuntaan noocay rabto ha ahaatee taasoo sababtay inaydan haysanin waxa aad ku soo iibsataan?","true","","",".>=0 and .<=30","Must be between 0 and 30","","",NA,""
"233","integer","sleep_hungry","In the past 30 days, on how many days did you or any household member go to sleep at night hungry because there was not enough food?","30kii maalmood ee la soo dhaafay, immisa maalmood ayaad adiga ama qof ka mid ah qoyska uu seexday habeenkii isagoo gaajeysan, taasoo sababtay inaysan jirin cunto idinku filan?","true","","",".>=0 and .<=30","Must be between 0 and 30","","",NA,""
"234","integer","not_eating","In the past 30 days, on how many days did you or any household member go a whole day and night without eating anything at all because there was not enough food?","30kii maalmood ee la soo dhaafay, immisa maalmood ayaad adiga ama qof ka mid ah qoyska uu joogay maalin iyo habeen cunto la'aan, taasoo sababtay inaysan jirin cunto idinku filan?","true","","",".>=0 and .<=30","Must be between 0 and 30","","",NA,""
"235","end_group","","","","","","","","","","",NA,""
"236","begin_group","income","Household income","","","","","","","","",NA,""
"237","note","livelihood_note","What were your household's 3 primary sources of income/household financial support in the past year?","Sheeg saddexda il ee qoyskaaga dhaqaale/taakuleyn dhaqaale ka heli jireen sanadkii lasoo dhaafay?","false","","","","","","",NA,""
"238","select_one income_source","primary_source","Primary source","Isha koowaad","true","","","not(selected(.,""none""))","Cannot select 'none' as the primary source","","",NA,""
"239","select_one income_source","secondary_source","Secondary source","Isha labaad","true","","",".!=${primary_source}","Cannot select same as the primary source","name != ${primary_source}","",NA,""
"240","select_one income_source","tertiary_source","Third source","Isha saddexaad","true","not(selected(${secondary_source},'none'))","","if(selected(${secondary_source},'none'),.=${secondary_source},.!=${secondary_source} and .!=${primary_source})","","name != ${primary_source} and name != ${secondary_source}","",NA,""
"241","text","hh_income_source_other","If other, please specify"," Wax kale, fadlan qeex:","true","selected(${primary_source},'other') or selected(${secondary_source},'other') or selected(${tertiary_source},'other')","","","","","",NA,""
"242","select_one yes_no","lost_sources","Have you lost access to any of these sources in the last year?","Sanadkii lasoo dhaafay ma waaysay ama kaa lumay mid kamid ah ilaha aad soo sheegtay?","true","","","","","","",NA,""
"243","select_multiple live_coping","livelihood_coping","In the past 30 days have you used any of the following livelihood coping strategies?","Lixdi bil ee lasoo dhaafay, ma isticmaashey kaabayaasha nolol maalmeydka ee soo socda midkood?","true","","","not(selected(.,'none') and (selected(.,'sold_livestock') or selected(.,'sold_items') or selected(.,'sold_assets') or selected(.,'dangerous_work') or selected(.,'migrated_food')  or selected(.,'stop_health_edu') or selected(.,'family_sep') or selected(.,'spent_save') or selected(.,'borrow_money') or selected(.,'children_work') or selected(.,'other')))","Cannot select ""None"" with any other options","","",NA,""
"244","text","livelihood_coping_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${livelihood_coping},'other')","","","","","",NA,""
"245","select_multiple live_coping","livelihood_used","Are any of these coping strategies no longer available to you because you have already used them before the previous month?","Miyee jiraan kaabayaasha nolol maalmeydka oo aadan isticmaali karin hadda maadaama aad horey u isticmaashay?","true","","","not(selected(.,'none') and (selected(.,'sold_livestock') or selected(.,'sold_items') or selected(.,'sold_assets') or selected(.,'dangerous_work') or selected(.,'migrated_food')  or selected(.,'stop_health_edu') or selected(.,'family_sep') or selected(.,'spent_save') or selected(.,'borrow_money') or selected(.,'children_work') or selected(.,'other'))) and . != ${livelihood_coping}","Cannot select ""None"" with any other options AND Cannot select same coping strategies used in the past month","","",NA,""
"246","text","livelihood_used_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${livelihood_used},'other')","","","","","",NA,""
"247","select_one yes_no","own_livestock","Do you own livestock?","Xool nool ma leedahay? AMA Xoolo ma dhaqataa?","true","","","","","","",NA,""
"248","select_one proportion","livestock_dead","In the past 6 months what proportion of your livestock has died?","Saddexdi bil ee lasoo dhaafay, imisa xoolo ayaa dhintay? ","true","selected(${own_livestock},""yes"")","","","","","",NA,""
"249","select_one yes_no","cultivated","Do own/rent any land for cultivation?","Ma leedahay dhul la beeran/abuuran karo?","","","","","","","",NA,""
"250","select_one yes_no","cultivated_damaged","Has any of this land been damaged in the last 6 months?","Ma jirtaa inaad beeratay wax dhul ah kaasoo waxyeelo soo gaartay 3 bilood ee la soo dhaafay?","true","selected(${cultivated}, 'yes')","","","","","",NA,""
"251","integer","damaged_land","How many hectares have been damaged?","Immisa hektar ayaa waxyeelo soo gaartay?","true","selected(${cultivated_damaged},'yes')","","","","","",NA,""
"252","select_one currency","currency","What type of currency is mostly used in this area?","Lacag noocee ah ayaa laga isticmaalaa meeshaan?","true","","","","","","",NA,""
"253","integer","exchange_rate_shilling","How many ${currency} are there to 1 USD currently in this location?","Imisa ${currency} ayaa la sarifayaa 1-ka dollar?","true","","","if(selected(${currency},'sos'),.>=10000 and .<=30000,if(selected(${currency},'slsh'),.>=5000 and .<=12000,if(selected(${currency},'kes'),.>=50 and .<=150,.>=10 and .<=30)))","If sos, rate must be between 10000 to 30000sh, If slsh, rate must be between 5000 to 12000sh, if kes, between 50 to 150sh and if etb, between 10 to 30 birr","","",NA,""
"254","integer","food_price","Approximately how much did your household spend on food in the last month? (write amount in ${currency})","Imisa lacag ayuu qoyskaaga ku bixiye cuntada, isbuucii lasoo dhaafay? (Ku qor lacagta ${currency} ahaan)","true","","",". >= 1000 and . <= 6900000","Not more than 6,900,000 sos (approx. 300 USD)","","",NA,""
"255","select_one increase_decrease","food_price_change","Has this amount changed in the last 3 months/90 days?","Ma is badashay cadadkaan 3 bilood ee lasoo dhaafay?","","","","","","","",NA,""
"256","end_group","","","","","","","","","","",NA,""
"257","end_group","","","","","","","","","","",NA,""
"258","begin_group","F","WASH","BIYAHA IYO NADAAFADA","","","","","","","",NA,""
"259","begin_group","water","Water ","Biyaha","","","","","","","",NA,""
"260","select_one water_source","water_drinking","What was your primary source of drinking water in the last 30 days?","Xagee ka heshaa biyaha aad maalinlaha u isticmaashid (dhaqida, karinta iyo cabida)?","true","","","","","","",NA,""
"261","text","water_drinking_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${water_drinking},""other"")","","","","","",NA,""
"262","select_one water_source","water_domestic","In the last 30 days did your household use other sources of water to drink, cook or bathe?","30-kii maalmood ee lasoo dhaafay, qosykaaga ma isticmaaley ilo kale ee biyaha si ay u caabn, karsadaan, iyo ku qubeystaan/meydhaan?","true","","","","","","",NA,""
"263","text","water_washing_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${water_domestic},""other"")","","","","","",NA,""
"264","select_one yes_no","adequate_water","In the last 30 days did you have enough water to meet your household needs?","30-kii maalmood ee lasoo dhaafay, qosykaaga ma helay biyo ku filan si baahida biyo ee qoyska u daboolanto?","true","","","","","","",NA,""
"265","select_one water_none","water_access_challenges","If no, what were the reasons?","Haddii qoyskaaga biyo ku filan helin, sheeg sababaha?","true","selected(${adequate_water},""no"")","","","","","",NA,""
"266","text","water_access_challenges_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${water_access_challenges},'other')","","","","","",NA,""
"267","select_one yes_no","water_treat","Do you treat your drinking water?","Ma iska daaweysaa biyaha la cabo?","true","","","","","","",NA,""
"268","select_one water_treat_how","water_treat_how","If yes, how do you treat your drinking water?","Sidee iskaga daaweysaa biyaha la cabo?","true","selected(${water_treat},""yes"")","","","","","",NA,""
"269","text","water_treat_how_other","If other, please specify","Wax kale faldan, qeex:","true","selected(${water_treat_how},""other"")","","","","","",NA,""
"270","select_one time_dist1","water_dist","How long by foot does it take to reach your primary water source from your home?","Imisa ayee kugu qaadaneysaa inaad u lugeysid goobta kugu dhaw ee biyaha laga soo dhaansado?","true","","","","","","",NA,""
"271","select_one yes_no","water_pay","Do you pay for your water? ","Biyaha lacag maka dhiibtaa?","true","","","","","","",NA,""
"272","integer","jerrycan_cost","How much much does it cost to fill at 20 litre jerry can with water? (write price in ${currency})","Imisa waaye qiimaha jeerikaanka biyaha? (ku qor lacata ${currency} ahaan)","true","selected(${water_pay}, 'yes')","",".>0 and .<=50000","Not more than 50,000 sos","","",NA,""
"273","integer","water_price","Approximately how much did your household spend on water in the last 30 days? (write amount in ${currency})","Qiyaas ahaan imisa lacag ayaa ku bixisay biyaha 30-kii maalmood lasoo dhaafay? (Dollar ahaan)","true","selected(${water_pay}, 'yes')","",". >= 1000 and . <= 6900000","Not more than 6,900,000 sos (approx. 300 USD)","","",NA,""
"274","select_one increase_decrease","water_price_change","Has this amount changed in the last 6 months?","Ma is badashay cadadkaan 6 bilood ee lasoo dhaafay?","true","selected(${water_pay}, 'yes')","","","","","",NA,""
"275","integer","water_storage","How many containers do you have to collect water?","Imisa weyl/haan/fuusto ayaa biyaha ku keydsataa?","true","","",". >= 0 and . <= 50","Not more than 50 containers","","",NA,""
"276","begin_group","water_amount","B3.2 Water amount","","","","","","","","",NA,""
"277","begin repeat","HHwaterloop","B4.2 Containers used YESTERDAY for collecting water. 
Record one by one.","","","yes","field-list","","","","",NA,"${water_storage}"
"278","calculate","Loop_position","","","","","","","","","position(..)",NA,""
"279","decimal","capacity","B3.2.1 What is the volume of this container (in litres)?","Sheeg mugga weylka ama haanta ama fuustada (Liter ahaan)?","true","yes","",". > 0 and .<=200","The number has to be more than 0 and less than 200","","",NA,""
"280","integer","journey","B3.2.2 How many times was the container filled the last time water was collected?","Imisa jeer ayaa weelka/booyada biyaha la buuxiye xilliga ugu dambeeye ee biyo lagu shubo?","true","yes","",".> 0 and .<30","The number has to be more than 0 and less than 30","","",NA,""
"281","calculate","litres","","","true","","","","","","${journey} * ${capacity}",NA,""
"282","end repeat","","","","","","","","","","",NA,""
"283","end group","","","","","","","","","","",NA,""
"284","end_group","","","","","","","","","","",NA,""
"285","begin_group","hygiene","Hygiene","Nadaafada","","","","","","","",NA,""
"286","select_one soap_access","soap_access","Do you have soap in your household?","Qoyskaaga saabuun ma heystaan?","true ","","","","","","",NA,""
"287","select_one no_soap_why","no_soap_why","If not, why not?","Haddii aysan heysan saabuun, sababta sheeg?","true ","selected(${soap_access},""no"")","","","","","",NA,""
"288","text","no_soap_why_other","If other, please specify","Wax kale, fadlan qeex:","true ","selected(${no_soap_why},""other"")","","","","","",NA,""
"289","select_one handwashing_techniques","handwashing_technique","What do people in the household use to wash their hands?","Qoyskaaga sidee gacmaha u dhaqdaan?","true ","","","","","","",NA,""
"290","text","handwashing_technique_other","If other, please specify","Wax kale, fadlan qeex:","true ","selected(${handwashing_technique},""other"")","","","","","",NA,""
"291","end_group","","","","","","","","","","",NA,""
"292","begin_group","sanitation","Sanitation","Nadaafada","","","","","","","",NA,""
"293","select_one latrine_access","latrine_access","Does your household have access to a latrine?","Qoyskaaga ma helaa suuli/musqul?","true","","","","","","",NA,""
"294","begin_group","latrine_facilities","Latrine Facilities","","","not(selected(${latrine_access}, ""no_access"") or selected(${latrine_access}, ""dontknow""))","","","","","",NA,""
"295","select_one latrine_type","latrine_type","What type of latrine do you have access to?","Sheeg nooca suuliga/musqusha?","true","","","","","","",NA,""
"296","select_one yes_no","latrine_segregated","Are latrines used by your household separated by gender?","Musqulaha ma u kala soocan yihiin Rag iyo dumar?","true","","","","","","",NA,""
"297","select_one yes_no","latrines_accessible_disabled","Are latrines used by your household accessible for disabled people?","Musqulaha/Suuliyada ma isticmaali karaan dadka naafada ah?","true","","","","","","",NA,""
"298","select_one yes_no","latrines_lockable","Are latrines used by your household lockable from the inside?","Musqulaha/Suuliyada maka xirmi karaan gudaha?","true","","","","","","",NA,""
"299","select_one yes_no","latrines_handwashing","Do latrines used by your household have functional facilities for handwashing?","Musqulaha/Suuliyada ma leeyihiin meel gacmo-dhaq oo shaqeynaya?","true","","","","","","",NA,""
"300","select_one yes_no","latrines_lighting","Do latrines used by your household have lighting at night?","Suuliga/musqusha qoyskaaga uu isticmaalo ma leedahay wax iftiin/leyr ah xilliga habeenki?","true","","","","","","",NA,""
"301","select_one latrine_hygiene","latrine_hygiene","How hygienic were latrines in the last 30 days?","Musqulaha/Suuliyada nadiif ma yihiin?","true","","","","","","",NA,""
"302","end_group","","","","","","","","","","",NA,""
